Precios Promedio de venta en Lima por Distrito del GLP-Granel en Gasocentros-28/04/2022 (Galones);;
;;
Distrito;Precio Promedio;Número de Establecimientos
ANCON;10.99;1
ATE;8.853928571;28
BARRANCO;9.876666667;3
BREÑA;9.43;5
CARABAYLLO;9.05;15
CHACLACAYO;8.96;4
CHORRILLOS;9.371;10
CIENEGUILLA;9.795;2
COMAS;9.240833333;12
EL AGUSTINO;9.556666667;3
INDEPENDENCIA;9.12125;8
JESUS MARIA;9.3;5
LA MOLINA;9.635833333;12
LA VICTORIA;9.1990625;32
LIMA;9.182142857;28
LINCE;9.756666667;3
LOS OLIVOS;8.850625;16
LURIGANCHO;9.058095238;21
LURIN;8.807142857;14
MAGDALENA DEL MAR;9.872;5
MIRAFLORES;9.99;3
PACHACAMAC;9.486666667;3
PUCUSANA;8.99;1
PUEBLO LIBRE;9.215555556;9
PUENTE PIEDRA;8.948636364;22
PUNTA HERMOSA;8.79;1
RIMAC;8.92;5
SAN BARTOLO;8.89;2
SAN BORJA;9.593333333;3
SAN ISIDRO;9.865;4
SAN JUAN DE LURIGANCHO;9.074571429;35
SAN JUAN DE MIRAFLORES;9.477272727;11
SAN LUIS;9.044;5
SAN MARTIN DE PORRES;8.778571429;21
SAN MIGUEL;9.199090909;11
SANTA ANITA;9.124;5
SANTA ROSA;9.29;1
SANTIAGO DE SURCO;9.995;12
SURQUILLO;10.412;5
VILLA EL SALVADOR;8.8635;20
VILLA MARIA DEL TRIUNFO;9.297692308;13
