Precios Promedio de venta en Lima por Distrito del GNV-25/07/2022 (Soles por metros cúbicos);;
;;
Distrito;Precio Promedio;Número de Establecimientos
ANCON;1.89;2
ATE;1.517;20
BARRANCO;1.52;1
BREÑA;1.492857143;7
CARABAYLLO;1.666;5
CHACLACAYO;1.59;1
CHORRILLOS;1.725555556;9
COMAS;1.63;8
EL AGUSTINO;1.61;2
INDEPENDENCIA;1.556666667;6
JESUS MARIA;1.526666667;3
LA MOLINA;1.603333333;6
LA VICTORIA;1.505714286;28
LIMA;1.501818182;22
LINCE;1.61;2
LOS OLIVOS;1.603571429;14
LURIGANCHO;1.542;5
LURIN;1.763333333;6
MAGDALENA DEL MAR;1.57;5
MIRAFLORES;1.605;2
PACHACAMAC;1.59;1
PUEBLO LIBRE;1.531428571;7
PUENTE PIEDRA;1.59;6
RIMAC;1.99;1
SAN BORJA;1.53;2
SAN ISIDRO;1.6;5
SAN JUAN DE LURIGANCHO;1.625789474;19
SAN JUAN DE MIRAFLORES;1.75875;8
SAN LUIS;1.46;7
SAN MARTIN DE PORRES;1.560769231;13
SAN MIGUEL;1.527272727;11
SANTA ANITA;1.59;3
SANTIAGO DE SURCO;1.586428571;14
SURQUILLO;1.571;10
VILLA EL SALVADOR;1.691666667;6
VILLA MARIA DEL TRIUNFO;1.63375;8
